,P.S1,P.C1,P.S2,P.C2,F.S1,F.C1,F.S2,F.C2,F.S3,F.C3,T.S4,T.C4,R.S5,R.C5,Rank,Winner
Player 1 Game 19,Clubs,J,Clubs,Q,Clubs,8,Diamonds,5,Spades,A,Spades,7,Spades,4,High Card,0
Player 2 Game 19,Diamonds,6,Spades,3,Clubs,8,Diamonds,5,Spades,A,Spades,7,Spades,4,Straight,1
Player 1 Game 20,Clubs,3,Hearts,J,Hearts,3,Spades,3,Diamonds,4,Hearts,5,Diamonds,2,Three of a Kind,1
Player 2 Game 20,Diamonds,10,Diamonds,3,Hearts,3,Spades,3,Diamonds,4,Hearts,5,Diamonds,2,Three of a Kind,0
Player 1 Game 21,Diamonds,9,Hearts,J,Diamonds,2,Clubs,6,Clubs,2,Spades,6,Spades,3,Two Pair,0
Player 2 Game 21,Spades,2,Hearts,K,Diamonds,2,Clubs,6,Clubs,2,Spades,6,Spades,3,Full House,1
Player 1 Game 22,Spades,7,Spades,J,Clubs,10,Hearts,7,Clubs,4,Clubs,9,Clubs,6,One Pair,1
Player 2 Game 22,Hearts,4,Hearts,J,Clubs,10,Hearts,7,Clubs,4,Clubs,9,Clubs,6,One Pair,0
Player 1 Game 23,Hearts,4,Spades,10,Spades,A,Diamonds,9,Clubs,3,Clubs,2,Hearts,8,High Card,0
Player 2 Game 23,Diamonds,3,Spades,K,Spades,A,Diamonds,9,Clubs,3,Clubs,2,Hearts,8,One Pair,1
Player 1 Game 24,Spades,8,Hearts,8,Diamonds,K,Diamonds,Q,Clubs,8,Clubs,6,Clubs,7,Three of a Kind,1
Player 2 Game 24,Diamonds,3,Clubs,A,Diamonds,K,Diamonds,Q,Clubs,8,Clubs,6,Clubs,7,High Card,0
Player 1 Game 25,Spades,Q,Diamonds,Q,Spades,6,Diamonds,8,Clubs,7,Hearts,10,Clubs,A,One Pair,0
Player 2 Game 25,Diamonds,5,Clubs,6,Spades,6,Diamonds,8,Clubs,7,Hearts,10,Clubs,A,Straight,1
Player 1 Game 26,Spades,J,Clubs,4,Hearts,8,Clubs,2,Clubs,J,Spades,5,Diamonds,2,Two Pair,1
Player 2 Game 26,Clubs,5,Diamonds,3,Hearts,8,Clubs,2,Clubs,J,Spades,5,Diamonds,2,Two Pair,0
Player 1 Game 27,Hearts,7,Diamonds,J,Diamonds,9,Spades,3,Diamonds,8,Diamonds,Q,Spades,7,One Pair,1
Player 2 Game 27,Clubs,3,Clubs,K,Diamonds,9,Spades,3,Diamonds,8,Diamonds,Q,Spades,7,One Pair,0
Player 1 Game 28,Clubs,5,Spades,9,Spades,4,Hearts,5,Clubs,Q,Spades,J,Clubs,8,One Pair,1
Player 2 Game 28,Spades,6,Spades,K,Spades,4,Hearts,5,Clubs,Q,Spades,J,Clubs,8,High Card,0
Player 1 Game 29,Spades,6,Hearts,6,Diamonds,K,Hearts,3,Diamonds,A,Hearts,10,Clubs,6,Three of a Kind,1
Player 2 Game 29,Spades,8,Spades,9,Diamonds,K,Hearts,3,Diamonds,A,Hearts,10,Clubs,6,High Card,0
Player 1 Game 30,Clubs,3,Diamonds,J,Spades,5,Diamonds,8,Clubs,J,Diamonds,10,Spades,9,One Pair,0
Player 2 Game 30,Hearts,10,Clubs,8,Spades,5,Diamonds,8,Clubs,J,Diamonds,10,Spades,9,Straight,1
Player 1 Game 31,Hearts,5,Hearts,2,Diamonds,A,Spades,Q,Spades,K,Clubs,6,Diamonds,10,High Card,0
Player 2 Game 31,Hearts,7,Clubs,9,Diamonds,A,Spades,Q,Spades,K,Clubs,6,Diamonds,10,High Card,1
Player 1 Game 32,Hearts,7,Hearts,K,Diamonds,9,Spades,6,Clubs,6,Diamonds,4,Spades,7,Straight,1
Player 2 Game 32,Diamonds,3,Hearts,Q,Diamonds,9,Spades,6,Clubs,6,Diamonds,4,Spades,7,One Pair,0
Player 1 Game 33,Hearts,7,Clubs,5,Diamonds,J,Diamonds,4,Diamonds,2,Hearts,2,Diamonds,8,One Pair,0
Player 2 Game 33,Hearts,Q,Clubs,3,Diamonds,J,Diamonds,4,Diamonds,2,Hearts,2,Diamonds,8,One Pair,1
Player 1 Game 34,Spades,9,Diamonds,3,Clubs,J,Diamonds,5,Spades,A,Hearts,3,Clubs,10,One Pair,1
Player 2 Game 34,Diamonds,7,Diamonds,8,Clubs,J,Diamonds,5,Spades,A,Hearts,3,Clubs,10,High Card,0
Player 1 Game 35,Diamonds,3,Hearts,5,Hearts,J,Hearts,3,Hearts,4,Clubs,2,Clubs,7,One Pair,1
Player 2 Game 35,Diamonds,9,Spades,K,Hearts,J,Hearts,3,Hearts,4,Clubs,2,Clubs,7,High Card,0
Player 1 Game 36,Hearts,5,Clubs,8,Diamonds,6,Clubs,K,Clubs,10,Spades,8,Spades,J,One Pair,0
Player 2 Game 36,Spades,10,Hearts,2,Diamonds,6,Clubs,K,Clubs,10,Spades,8,Spades,J,Straight,1
Player 1 Game 37,Clubs,10,Diamonds,6,Diamonds,2,Diamonds,4,Diamonds,9,Diamonds,7,Hearts,7,Flush,1
Player 2 Game 37,Spades,5,Spades,8,Diamonds,2,Diamonds,4,Diamonds,9,Diamonds,7,Hearts,7,Straight,0
Player 1 Game 38,Spades,7,Hearts,10,Diamonds,K,Diamonds,8,Clubs,7,Clubs,2,Hearts,K,Two Pair,1
Player 2 Game 38,Spades,4,Diamonds,7,Diamonds,K,Diamonds,8,Clubs,7,Clubs,2,Hearts,K,Two Pair,0
Player 1 Game 39,Clubs,J,Clubs,9,Spades,3,Spades,J,Diamonds,4,Clubs,4,Diamonds,J,Full House,1
Player 2 Game 39,Spades,10,Spades,9,Spades,3,Spades,J,Diamonds,4,Clubs,4,Diamonds,J,Straight,0
Player 1 Game 40,Spades,10,Diamonds,J,Clubs,6,Hearts,8,Diamonds,10,Hearts,A,Diamonds,8,Two Pair,1
Player 2 Game 40,Hearts,7,Clubs,5,Clubs,6,Hearts,8,Diamonds,10,Hearts,A,Diamonds,8,One Pair,0
Player 1 Game 41,Clubs,A,Clubs,3,Hearts,Q,Hearts,6,Diamonds,3,Clubs,5,Clubs,7,One Pair,0
Player 2 Game 41,Diamonds,7,Spades,6,Hearts,Q,Hearts,6,Diamonds,3,Clubs,5,Clubs,7,Two Pair,1
Player 1 Game 42,Clubs,5,Hearts,7,Clubs,K,Spades,K,Spades,6,Clubs,9,Diamonds,8,Straight,1
Player 2 Game 42,Hearts,J,Diamonds,6,Clubs,K,Spades,K,Spades,6,Clubs,9,Diamonds,8,Two Pair,0
Player 1 Game 43,Diamonds,8,Spades,8,Diamonds,A,Hearts,8,Clubs,Q,Hearts,6,Diamonds,Q,Full House,1
Player 2 Game 43,Spades,10,Spades,Q,Diamonds,A,Hearts,8,Clubs,Q,Hearts,6,Diamonds,Q,Straight,0
Player 1 Game 44,Spades,6,Hearts,10,Spades,Q,Hearts,7,Spades,10,Clubs,8,Diamonds,4,One Pair,1
Player 2 Game 44,Clubs,9,Clubs,5,Spades,Q,Hearts,7,Spades,10,Clubs,8,Diamonds,4,High Card,0
Player 1 Game 45,Diamonds,A,Diamonds,4,Hearts,Q,Diamonds,8,Clubs,J,Diamonds,Q,Hearts,6,One Pair,0
Player 2 Game 45,Hearts,J,Hearts,3,Hearts,Q,Diamonds,8,Clubs,J,Diamonds,Q,Hearts,6,Two Pair,1
Player 1 Game 46,Diamonds,7,Diamonds,8,Hearts,J,Hearts,10,Spades,J,Clubs,J,Spades,2,Three of a Kind,0
Player 2 Game 46,Diamonds,10,Hearts,4,Hearts,J,Hearts,10,Spades,J,Clubs,J,Spades,2,Full House,1
Player 1 Game 47,Clubs,10,Hearts,A,Clubs,4,Spades,8,Spades,A,Spades,6,Spades,3,One Pair,1
Player 2 Game 47,Clubs,Q,Diamonds,9,Clubs,4,Spades,8,Spades,A,Spades,6,Spades,3,High Card,0
Player 1 Game 48,Hearts,10,Diamonds,K,Hearts,3,Diamonds,9,Clubs,6,Spades,A,Diamonds,5,High Card,1
Player 2 Game 48,Clubs,7,Clubs,Q,Hearts,3,Diamonds,9,Clubs,6,Spades,A,Diamonds,5,High Card,0
Player 1 Game 49,Spades,A,Diamonds,K,Clubs,2,Diamonds,J,Hearts,J,Clubs,8,Diamonds,6,One Pair,0
Player 2 Game 49,Spades,7,Hearts,6,Clubs,2,Diamonds,J,Hearts,J,Clubs,8,Diamonds,6,Two Pair,1
Player 1 Game 50,Diamonds,7,Spades,10,Spades,3,Spades,8,Diamonds,K,Diamonds,9,Diamonds,2,High Card,0
Player 2 Game 50,Clubs,K,Clubs,6,Spades,3,Spades,8,Diamonds,K,Diamonds,9,Diamonds,2,One Pair,1
Player 1 Game 51,Hearts,A,Hearts,8,Spades,5,Clubs,5,Clubs,4,Clubs,2,Spades,7,One Pair,0
Player 2 Game 51,Clubs,9,Clubs,6,Spades,5,Clubs,5,Clubs,4,Clubs,2,Spades,7,Flush,1
Player 1 Game 52,Clubs,A,Hearts,2,Clubs,7,Diamonds,Q,Diamonds,3,Spades,3,Spades,8,One Pair,1
Player 2 Game 52,Spades,5,Spades,6,Clubs,7,Diamonds,Q,Diamonds,3,Spades,3,Spades,8,One Pair,0
Player 1 Game 53,Diamonds,Q,Diamonds,5,Diamonds,K,Hearts,2,Spades,3,Hearts,6,Clubs,8,High Card,0
Player 2 Game 53,Diamonds,2,Clubs,6,Diamonds,K,Hearts,2,Spades,3,Hearts,6,Clubs,8,Two Pair,1
Player 1 Game 54,Clubs,10,Clubs,2,Spades,Q,Hearts,6,Clubs,A,Clubs,Q,Hearts,A,Two Pair,2
Player 2 Game 54,Hearts,10,Hearts,7,Spades,Q,Hearts,6,Clubs,A,Clubs,Q,Hearts,A,Two Pair,2
Player 1 Game 55,Hearts,5,Hearts,7,Diamonds,2,Spades,6,Clubs,J,Spades,9,Diamonds,9,One Pair,0
Player 2 Game 55,Clubs,5,Diamonds,A,Diamonds,2,Spades,6,Clubs,J,Spades,9,Diamonds,9,One Pair,1
Player 1 Game 56,Spades,Q,Hearts,6,Diamonds,6,Diamonds,K,Hearts,8,Clubs,10,Diamonds,5,One Pair,1
Player 2 Game 56,Hearts,7,Diamonds,3,Diamonds,6,Diamonds,K,Hearts,8,Clubs,10,Diamonds,5,High Card,0
Player 1 Game 57,Spades,10,Spades,Q,Hearts,7,Hearts,5,Diamonds,K,Clubs,Q,Diamonds,6,One Pair,1
Player 2 Game 57,Hearts,4,Spades,7,Hearts,7,Hearts,5,Diamonds,K,Clubs,Q,Diamonds,6,One Pair,0
Player 1 Game 58,Clubs,J,Spades,9,Spades,4,Hearts,Q,Clubs,K,Spades,K,Hearts,2,One Pair,1
Player 2 Game 58,Clubs,6,Hearts,3,Spades,4,Hearts,Q,Clubs,K,Spades,K,Hearts,2,One Pair,0
Player 1 Game 59,Hearts,10,Spades,8,Clubs,7,Hearts,8,Diamonds,A,Clubs,8,Spades,9,Three of a Kind,0
Player 2 Game 59,Spades,10,Spades,6,Clubs,7,Hearts,8,Diamonds,A,Clubs,8,Spades,9,Straight,1
Player 1 Game 60,Hearts,Q,Diamonds,5,Spades,J,Hearts,4,Clubs,10,Clubs,K,Hearts,K,One Pair,0
Player 2 Game 60,Spades,2,Spades,8,Spades,J,Hearts,4,Clubs,10,Clubs,K,Hearts,K,Straight,1
Player 1 Game 61,Clubs,Q,Hearts,3,Diamonds,6,Clubs,A,Clubs,5,Clubs,3,Diamonds,2,One Pair,0
Player 2 Game 61,Spades,A,Clubs,J,Diamonds,6,Clubs,A,Clubs,5,Clubs,3,Diamonds,2,One Pair,1
Player 1 Game 62,Diamonds,7,Diamonds,2,Diamonds,6,Clubs,2,Clubs,7,Spades,K,Spades,J,Two Pair,1
Player 2 Game 62,Spades,9,Clubs,10,Diamonds,6,Clubs,2,Clubs,7,Spades,K,Spades,J,High Card,0
Player 1 Game 63,Diamonds,5,Clubs,8,Diamonds,K,Hearts,7,Hearts,10,Hearts,4,Diamonds,8,One Pair,1
Player 2 Game 63,Diamonds,2,Spades,3,Diamonds,K,Hearts,7,Hearts,10,Hearts,4,Diamonds,8,High Card,0
Player 1 Game 64,Clubs,9,Clubs,6,Diamonds,7,Hearts,7,Spades,2,Spades,8,Diamonds,5,One Pair,0
Player 2 Game 64,Clubs,7,Hearts,Q,Diamonds,7,Hearts,7,Spades,2,Spades,8,Diamonds,5,Three of a Kind,1
Player 1 Game 65,Diamonds,10,Spades,9,Clubs,K,Spades,A,Hearts,7,Diamonds,7,Spades,3,One Pair,2
Player 2 Game 65,Diamonds,2,Spades,10,Clubs,K,Spades,A,Hearts,7,Diamonds,7,Spades,3,One Pair,2
Player 1 Game 66,Diamonds,2,Clubs,9,Diamonds,5,Hearts,2,Clubs,5,Spades,5,Hearts,9,Full House,2
Player 2 Game 66,Diamonds,A,Spades,9,Diamonds,5,Hearts,2,Clubs,5,Spades,5,Hearts,9,Full House,2
Player 1 Game 67,Spades,J,Hearts,J,Clubs,K,Diamonds,Q,Hearts,8,Diamonds,J,Spades,7,Three of a Kind,1
Player 2 Game 67,Hearts,10,Hearts,Q,Clubs,K,Diamonds,Q,Hearts,8,Diamonds,J,Spades,7,One Pair,0
Player 1 Game 68,Hearts,5,Hearts,8,Spades,8,Diamonds,J,Diamonds,9,Clubs,10,Hearts,Q,Straight,1
Player 2 Game 68,Spades,K,Spades,J,Spades,8,Diamonds,J,Diamonds,9,Clubs,10,Hearts,Q,One Pair,0
Player 1 Game 69,Diamonds,A,Hearts,5,Spades,A,Spades,3,Diamonds,3,Clubs,9,Spades,6,Two Pair,2
Player 2 Game 69,Hearts,A,Hearts,2,Spades,A,Spades,3,Diamonds,3,Clubs,9,Spades,6,Two Pair,2
Player 1 Game 70,Hearts,10,Clubs,K,Hearts,9,Diamonds,9,Clubs,Q,Diamonds,2,Hearts,A,One Pair,2
Player 2 Game 70,Diamonds,K,Clubs,3,Hearts,9,Diamonds,9,Clubs,Q,Diamonds,2,Hearts,A,One Pair,2
Player 1 Game 71,Hearts,K,Spades,3,Spades,2,Hearts,3,Spades,4,Spades,A,Spades,7,Flush,1
Player 2 Game 71,Clubs,3,Diamonds,J,Spades,2,Hearts,3,Spades,4,Spades,A,Spades,7,One Pair,0
Player 1 Game 72,Spades,K,Hearts,2,Hearts,6,Hearts,8,Diamonds,5,Clubs,A,Clubs,2,One Pair,0
Player 2 Game 72,Spades,10,Hearts,10,Hearts,6,Hearts,8,Diamonds,5,Clubs,A,Clubs,2,One Pair,1
Player 1 Game 73,Spades,Q,Clubs,3,Spades,K,Clubs,4,Hearts,9,Diamonds,4,Clubs,6,One Pair,0
Player 2 Game 73,Clubs,K,Diamonds,2,Spades,K,Clubs,4,Hearts,9,Diamonds,4,Clubs,6,Two Pair,1
Player 1 Game 74,Spades,7,Diamonds,3,Hearts,4,Clubs,9,Hearts,10,Hearts,3,Spades,6,One Pair,0
Player 2 Game 74,Diamonds,4,Clubs,3,Hearts,4,Clubs,9,Hearts,10,Hearts,3,Spades,6,Straight,1
Player 1 Game 75,Diamonds,Q,Diamonds,2,Hearts,5,Diamonds,3,Clubs,10,Spades,7,Clubs,2,One Pair,1
Player 2 Game 75,Diamonds,6,Diamonds,J,Hearts,5,Diamonds,3,Clubs,10,Spades,7,Clubs,2,High Card,0
Player 1 Game 76,Spades,J,Spades,Q,Hearts,8,Clubs,7,Spades,6,Spades,4,Diamonds,5,Straight,2
Player 2 Game 76,Spades,K,Diamonds,8,Hearts,8,Clubs,7,Spades,6,Spades,4,Diamonds,5,Straight,2
Player 1 Game 77,Hearts,A,Diamonds,Q,Clubs,8,Spades,A,Hearts,8,Diamonds,10,Spades,2,Two Pair,1
Player 2 Game 77,Spades,6,Hearts,9,Clubs,8,Spades,A,Hearts,8,Diamonds,10,Spades,2,One Pair,0
Player 1 Game 78,Spades,5,Clubs,3,Spades,J,Hearts,Q,Clubs,5,Spades,10,Spades,8,One Pair,0
Player 2 Game 78,Spades,7,Spades,2,Spades,J,Hearts,Q,Clubs,5,Spades,10,Spades,8,Flush,1
Player 1 Game 79,Hearts,K,Spades,5,Hearts,3,Diamonds,9,Hearts,7,Diamonds,Q,Clubs,9,One Pair,0
Player 2 Game 79,Clubs,6,Spades,4,Hearts,3,Diamonds,9,Hearts,7,Diamonds,Q,Clubs,9,Straight,1
Player 1 Game 80,Spades,7,Clubs,9,Spades,6,Hearts,J,Clubs,A,Spades,A,Spades,J,Two Pair,0
Player 2 Game 80,Hearts,Q,Spades,8,Spades,6,Hearts,J,Clubs,A,Spades,A,Spades,J,Two Pair,1
Player 1 Game 81,Clubs,5,Clubs,Q,Clubs,K,Hearts,9,Clubs,10,Hearts,10,Diamonds,9,Straight,1
Player 2 Game 81,Spades,6,Spades,4,Clubs,K,Hearts,9,Clubs,10,Hearts,10,Diamonds,9,Two Pair,0
Player 1 Game 82,Spades,5,Spades,7,Clubs,K,Hearts,4,Diamonds,9,Diamonds,J,Hearts,3,High Card,0
Player 2 Game 82,Spades,4,Hearts,Q,Clubs,K,Hearts,4,Diamonds,9,Diamonds,J,Hearts,3,One Pair,1
Player 1 Game 83,Clubs,A,Clubs,3,Spades,A,Diamonds,J,Diamonds,10,Diamonds,6,Diamonds,Q,One Pair,0
Player 2 Game 83,Spades,Q,Diamonds,9,Spades,A,Diamonds,J,Diamonds,10,Diamonds,6,Diamonds,Q,Flush,1
Player 1 Game 84,Clubs,Q,Clubs,9,Hearts,J,Hearts,K,Clubs,2,Spades,5,Hearts,9,One Pair,0
Player 2 Game 84,Hearts,A,Clubs,A,Hearts,J,Hearts,K,Clubs,2,Spades,5,Hearts,9,One Pair,1
Player 1 Game 85,Hearts,9,Hearts,7,Diamonds,6,Diamonds,Q,Hearts,K,Hearts,8,Diamonds,A,High Card,0
Player 2 Game 85,Clubs,9,Hearts,10,Diamonds,6,Diamonds,Q,Hearts,K,Hearts,8,Diamonds,A,High Card,1
Player 1 Game 86,Spades,5,Hearts,10,Diamonds,K,Diamonds,4,Clubs,6,Diamonds,J,Hearts,8,High Card,1
Player 2 Game 86,Spades,9,Clubs,3,Diamonds,K,Diamonds,4,Clubs,6,Diamonds,J,Hearts,8,High Card,0
Player 1 Game 87,Hearts,10,Diamonds,K,Hearts,6,Clubs,A,Diamonds,6,Spades,5,Diamonds,4,One Pair,1
Player 2 Game 87,Spades,9,Hearts,7,Hearts,6,Clubs,A,Diamonds,6,Spades,5,Diamonds,4,One Pair,0
Player 1 Game 88,Spades,8,Diamonds,3,Clubs,9,Hearts,9,Diamonds,4,Hearts,Q,Spades,4,Two Pair,0
Player 2 Game 88,Diamonds,J,Clubs,A,Clubs,9,Hearts,9,Diamonds,4,Hearts,Q,Spades,4,Two Pair,1
Player 1 Game 89,Clubs,2,Spades,3,Clubs,9,Diamonds,7,Diamonds,9,Clubs,K,Clubs,J,One Pair,0
Player 2 Game 89,Hearts,J,Hearts,Q,Clubs,9,Diamonds,7,Diamonds,9,Clubs,K,Clubs,J,Two Pair,1
Player 1 Game 90,Hearts,8,Clubs,K,Clubs,A,Clubs,5,Spades,4,Spades,9,Hearts,10,High Card,1
Player 2 Game 90,Spades,3,Hearts,6,Clubs,A,Clubs,5,Spades,4,Spades,9,Hearts,10,High Card,0
Player 1 Game 91,Hearts,10,Diamonds,7,Clubs,J,Clubs,8,Spades,3,Clubs,Q,Clubs,6,High Card,1
Player 2 Game 91,Spades,2,Hearts,5,Clubs,J,Clubs,8,Spades,3,Clubs,Q,Clubs,6,High Card,0
Player 1 Game 92,Hearts,10,Diamonds,A,Diamonds,4,Diamonds,6,Diamonds,9,Spades,10,Diamonds,2,Flush,1
Player 2 Game 92,Hearts,3,Diamonds,K,Diamonds,4,Diamonds,6,Diamonds,9,Spades,10,Diamonds,2,Flush,0
Player 1 Game 93,Spades,4,Hearts,A,Diamonds,8,Hearts,5,Clubs,8,Clubs,K,Hearts,K,Two Pair,0
Player 2 Game 93,Clubs,4,Spades,K,Diamonds,8,Hearts,5,Clubs,8,Clubs,K,Hearts,K,Full House,1
Player 1 Game 94,Spades,J,Clubs,J,Spades,K,Diamonds,3,Diamonds,2,Clubs,A,Hearts,K,Two Pair,1
Player 2 Game 94,Diamonds,7,Diamonds,Q,Spades,K,Diamonds,3,Diamonds,2,Clubs,A,Hearts,K,One Pair,0
Player 1 Game 95,Hearts,10,Spades,8,Diamonds,9,Clubs,5,Diamonds,3,Clubs,J,Hearts,5,One Pair,0
Player 2 Game 95,Spades,9,Spades,3,Diamonds,9,Clubs,5,Diamonds,3,Clubs,J,Hearts,5,Two Pair,1
Player 1 Game 96,Clubs,5,Diamonds,10,Spades,Q,Hearts,9,Hearts,J,Spades,8,Hearts,K,Straight,1
Player 2 Game 96,Diamonds,4,Spades,6,Spades,Q,Hearts,9,Hearts,J,Spades,8,Hearts,K,High Card,0
Player 1 Game 97,Clubs,3,Clubs,7,Diamonds,2,Diamonds,9,Spades,2,Hearts,J,Hearts,3,Two Pair,1
Player 2 Game 97,Spades,K,Diamonds,A,Diamonds,2,Diamonds,9,Spades,2,Hearts,J,Hearts,3,One Pair,0
Player 1 Game 98,Spades,6,Clubs,K,Hearts,A,Hearts,7,Hearts,Q,Clubs,3,Hearts,3,One Pair,0
Player 2 Game 98,Diamonds,8,Spades,8,Hearts,A,Hearts,7,Hearts,Q,Clubs,3,Hearts,3,Two Pair,1
Player 1 Game 99,Spades,2,Diamonds,2,Spades,5,Spades,A,Diamonds,9,Clubs,Q,Clubs,2,Three of a Kind,1
Player 2 Game 99,Clubs,9,Spades,J,Spades,5,Spades,A,Diamonds,9,Clubs,Q,Clubs,2,One Pair,0
Player 1 Game 100,Hearts,K,Spades,9,Diamonds,7,Hearts,A,Diamonds,Q,Hearts,J,Diamonds,4,High Card,0
Player 2 Game 100,Clubs,7,Hearts,8,Diamonds,7,Hearts,A,Diamonds,Q,Hearts,J,Diamonds,4,One Pair,1
Player 1 Game 101,Hearts,J,Spades,5,Clubs,K,Clubs,9,Spades,Q,Spades,3,Spades,4,High Card,0
Player 2 Game 101,Hearts,6,Clubs,Q,Clubs,K,Clubs,9,Spades,Q,Spades,3,Spades,4,One Pair,1
Player 1 Game 102,Hearts,6,Spades,6,Diamonds,4,Spades,9,Hearts,8,Spades,K,Clubs,3,One Pair,1
Player 2 Game 102,Diamonds,A,Diamonds,2,Diamonds,4,Spades,9,Hearts,8,Spades,K,Clubs,3,High Card,0
Player 1 Game 103,Spades,3,Hearts,6,Diamonds,J,Diamonds,10,Hearts,5,Hearts,3,Spades,Q,One Pair,2
Player 2 Game 103,Diamonds,3,Clubs,9,Diamonds,J,Diamonds,10,Hearts,5,Hearts,3,Spades,Q,One Pair,2
Player 1 Game 104,Clubs,8,Diamonds,2,Hearts,2,Spades,K,Spades,J,Diamonds,6,Hearts,A,One Pair,0
